GPS time,X,Y,Z,Lat,Lon
2223:048387.200,2938716.527,2229636.061,5186004.962,54.75727854,37.18798449
2223:048387.400,2938716.525,2229636.060,5186004.961,54.75727854,37.18798448
2223:048387.600,2938716.526,2229636.060,5186004.960,54.75727854,37.18798448
2223:048387.800,2938716.526,2229636.061,5186004.961,54.75727854,37.18798448
2223:048388.000,2938716.526,2229636.060,5186004.961,54.75727854,37.18798449
2223:048388.200,2938716.526,2229636.061,5186004.961,54.75727854,37.18798447
2223:048388.400,2938716.526,2229636.061,5186004.961,54.75727853,37.18798449
2223:048388.600,2938716.526,2229636.061,5186004.963,54.75727853,37.18798449
2223:048388.800,2938716.525,2229636.060,5186004.963,54.75727854,37.18798449
2223:048389.000,2938716.526,2229636.061,5186004.961,54.75727855,37.18798449
2223:048389.200,2938716.525,2229636.060,5186004.962,54.75727854,37.18798448
2223:048389.400,2938716.528,2229636.060,5186004.964,54.75727855,37.18798449
2223:048389.600,2938716.529,2229636.061,5186004.965,54.75727854,37.18798446
2223:048389.800,2938716.531,2229636.062,5186004.969,54.75727854,37.18798447
2223:048390.000,2938716.531,2229636.062,5186004.969,54.75727854,37.18798446
2223:048390.200,2938716.531,2229636.061,5186004.966,54.75727854,37.18798446
2223:048390.400,2938716.530,2229636.062,5186004.965,54.75727853,37.18798444
2223:048390.600,2938716.527,2229636.060,5186004.962,54.75727853,37.18798446
2223:048390.800,2938716.527,2229636.060,5186004.961,54.75727854,37.18798447
2223:048391.000,2938716.526,2229636.059,5186004.959,54.75727853,37.18798448
2223:048391.200,2938716.527,2229636.058,5186004.958,54.75727853,37.18798447
2223:048391.400,2938716.526,2229636.059,5186004.959,54.75727853,37.18798445
2223:048391.600,2938716.526,2229636.059,5186004.959,54.75727854,37.18798446
2223:048391.800,2938716.526,2229636.059,5186004.961,54.75727853,37.18798446
2223:048392.000,2938716.526,2229636.059,5186004.961,54.75727854,37.18798446
2223:048392.200,2938716.528,2229636.064,5186004.963,54.75727854,37.18798446
2223:048392.400,2938716.529,2229636.065,5186004.966,54.75727852,37.18798451
2223:048392.600,2938716.529,2229636.066,5186004.969,54.75727852,37.18798451
2223:048392.800,2938716.528,2229636.065,5186004.967,54.75727854,37.18798453
2223:048393.000,2938716.528,2229636.067,5186004.968,54.75727853,37.18798452
2223:048393.200,2938716.528,2229636.067,5186004.971,54.75727853,37.18798454
2223:048393.400,2938716.526,2229636.066,5186004.970,54.75727854,37.18798455
2223:048393.600,2938716.526,2229636.066,5186004.969,54.75727856,37.18798455
2223:048393.800,2938716.527,2229636.069,5186004.970,54.75727855,37.18798456
2223:048394.000,2938716.526,2229636.068,5186004.970,54.75727854,37.18798458
2223:048394.200,2938716.528,2229636.070,5186004.973,54.75727855,37.18798458
2223:048394.400,2938716.530,2229636.073,5186004.976,54.75727855,37.18798458
2223:048394.600,2938716.530,2229636.072,5186004.976,54.75727853,37.18798460
2223:048394.800,2938716.529,2229636.072,5186004.974,54.75727854,37.18798459
2223:048395.000,2938716.530,2229636.071,5186004.975,54.75727853,37.18798459
2223:048395.200,2938716.531,2229636.070,5186004.974,54.75727854,37.18798458
2223:048395.400,2938716.530,2229636.070,5186004.973,54.75727852,37.18798455
2223:048395.600,2938716.529,2229636.072,5186004.975,54.75727853,37.18798457
2223:048395.800,2938716.528,2229636.068,5186004.969,54.75727854,37.18798460
2223:048396.000,2938716.528,2229636.070,5186004.972,54.75727853,37.18798456
2223:048396.200,2938716.528,2229636.068,5186004.972,54.75727854,37.18798458
2223:048396.400,2938716.529,2229636.068,5186004.971,54.75727855,37.18798456
2223:048396.600,2938716.528,2229636.068,5186004.974,54.75727854,37.18798455
